"Id","FirstName","LastName","DateOfBirth","PlaceOfBirth"
1,"Akiba","Rubinstein","1880-11-30 23:06:32+00","Stawiski, Poland"
2,"Richard","Réti","1889-05-27 23:06:32+00","Bazin, Austria-Hungary"
3,"Frank","Marshall","1877-08-09 23:06:32+00","New York City, United States"
4,"Mikhail","Tal","1936-11-09 23:00:00+00","Riga, Latvia"
5,"David","Bronstein","1924-02-18 23:00:00+00","Bila Tserkva, Ukrainian SSR, Soviet Union"
6,"Ratmir","Kholmov","1925-05-12 23:00:00+00","Moscow, Russia"
7,"José Raúl","Capablanca","1888-11-18 23:06:32+00","Havana, Cuba"
8,"Efim","Geller","1925-03-07 23:00:00+00","Odessa, Ukrainian SSR, Soviet Union"
9,"Günther","Möhring","1936-11-24 23:00:00+00","Gera, Germany"
10,"Emanuel","Lasker","1868-12-23 23:06:32+00","Berlinchen, Prussia"
11,"Max","Euwe","1901-05-19 23:00:00+00","Amsterdam, Netherlands"
12,"Alexander","Kotov","1913-08-11 23:00:00+00","Tula, Russian Empire"
13,"Alexander","Alekhine","1892-10-30 23:06:32+00","Moscow, Russian Empire"
14,"Bent","Larsen","1935-03-03 23:00:00+00","Thisted, Denmark"
15,"James","Mason","1909-05-14 23:00:00+00","Huddersfield, England"
16,"Tigran","Petrosian","1929-06-16 23:00:00+00","Tbilisi, Georgian SSR, Soviet Union"
17,"Gersz","Rotlewi",NULL,NULL
18,"Efim","Bogoljubov","1889-04-13 23:06:32+00","Stanislavchyk, Tarashcha Uyezd, Kiev Governorate, Russian Empire"
19,"Stepan","Levitsky","1876-04-12 23:06:32+00","Zadonsk, Russian Empire"
20,"Savielly","Tartakower","1887-02-20 23:06:32+00","Rostov-on-Don, Russian Empire"
21,"Jóhann","Hjartarson","1963-02-07 23:00:00+00","Reykjavík, Iceland"
22,"Vladas","Mikėnas","1910-04-16 23:00:00+00","Vilnius, Lithuania"
23,"Viktor","Korchnoi","1931-03-22 23:00:00+00","Leningrad, Russian SFSR, Soviet Union"
24,"Ossip","Bernstein","1882-09-19 23:06:32+00","Zhytomyr, Russian Empire"
25,"Salo","Flohr","1908-11-20 23:00:00+00","Horodenka, Austria-Hungary"
26,"Owen","Hindle",NULL,NULL
28,"Bjørn","Brinck-Claussen","1942-01-28 22:00:00+00","Copenhagen, Denmark"
29,"Harry Nelson","Pillsbury","1872-12-04 23:06:32+00","Somerville, Massachusetts, United States"
30,"Yuri","Averbakh","1922-02-07 23:00:00+00","Kaluga, Russian SFSR"
31,"Mark","Taimanov","1926-02-06 23:00:00+00","Kharkiv, Ukrainian SSR, Soviet Union"
32,"Szymon","Winawer","1838-03-05 23:06:32+00","Warsaw, Congress Poland"
33,"Luděk","Pachman","1924-05-10 23:00:00+00","Bělá pod Bezdězem, Czechoslovakia"
34,"Mikhail","Botvinnik","1917-08-16 22:00:00+00","Kuokkala, Grand Duchy of Finland, Russian Empire"
35,"Henry","Bird","1829-07-13 23:06:32+00","Portsea, Hampshire, England"
36,"Paul","Morphy","1837-06-21 23:06:32+00","New Orleans, Louisiana, United States"
